"测试/故障","func.10_cb8cfac5","func.11_bffbc517","func.12_1_be573800","func.13_2_1a81d5fe","func.14_380V_57b084e2","func.15_DC24V_6fbc7991","func.16_ed2614a","func.17_78227663","func.18_6e2414c3","func.19_c4f26325","func.1_f95fd4d2","func.20_29f0d5c","func.21_9bb9c8c3","func.22_b44da0","func.23_2d2f3a0b","func.24_97d7de10","func.25_a1d044a5","func.26__U24_ac7330f6","func.27__U24_16803f49","func.28_1853cf2e","func.29_c023d3f9","func.2_613fcd44","func.30_e427a773","func.31_d9708bb9","func.3_af9dea0a","func.4_39d5a71f","func.5_7f59212c","func.6_990de41","func.7_c63536","func.8_c615daac","func.9_2df5d31e","comp.T_cb24ae4e","comp.QS_e694ca1f","comp.QS_fc5a84e7","comp.QS_7347f7de","comp.QS_4e6b90eb","comp.FU_366f40bf","comp.FU_31e97392","comp.KM_4051e4d7","comp.KM_f92e6d86","comp.KM_dca2a686","comp.KM_c7c1e71e","comp.KM_a2e5802b","comp.FR_8623e77c","comp.M_c17ce2bf","comp.M_c9449426","comp.SB1_55891e56","comp.SB1_6b4ed91e","comp.SB1_85270662","comp.SB2_49d28f75","comp.SB2_5f984a3d","comp.SB2_ed083341","comp.L1_36383f56","comp.L1_3638135f","comp.L2_37ed17f5","comp.L2_37ecebfe","comp.L7_40755310","comp.L7_40752719","comp.L8_422a2baf","comp.L8_4229ffb8","comp.L15_7f9cb42b","comp.L15_7f9c8834","comp.L16_81518cca","comp.L16_815160d3","comp.L17_83066569","comp.L17_83063972","comp.L18_84bb3e08","comp.L18_84bb1211","comp.L19_867016a7","comp.L19_866feab0","comp.L20_abfab451","comp.L20_abfa885a","comp.L21_adaf8cf0","comp.L21_adaf60f9"
"func.10_cb8cfac5",1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.11_bffbc517",0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.12_1_be573800",0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.13_2_1a81d5fe",0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.14_380V_57b084e2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"func.15_DC24V_6fbc7991",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"func.16_ed2614a",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"func.17_78227663",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"func.18_6e2414c3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"func.19_c4f26325",0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
