"测试/故障","func.10_492a0282","func.1_c5eb0df9","func.2_346ea348","func.3_274e3a77","func.4_80231526","func.5_30a4be30","func.6_be59813b","func.7_4a104339","func.8_f42ec119","func.9_8a9008b0","comp.HM722_d27445f4","comp.HM722_93c850cb","comp.DV711_e4a0691c","comp.DV711_9600e169","comp.DV711_a01540c6","comp.DV711_a0140c59","comp.DV711_a013595f","comp.FV723_7106e986","comp.FV723_e11e94d2","comp.RV721_A_2cd8a4d9","comp.RV721_P_A_9fcdcfe6","comp.RV721_P_R_83729c33","comp.P01_eaf8b050","comp.P01_eaf61c4e","comp.P02_ecad88ef","comp.P02_ecaaf4ed","comp.VB2_X_366a4c61","comp.VB2_Y_9e4b7940","comp.VB2_PA_f8f855d8","comp.VB2_PB_60d982b7"
"func.10_492a0282",1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
"func.1_c5eb0df9",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.2_346ea348",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.3_274e3a77",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.4_80231526",0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
"func.5_30a4be30",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
"func.6_be59813b",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"func.7_4a104339",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.8_f42ec119",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"func.9_8a9008b0",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.HM722_d27445f4",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.HM722_93c850cb",1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.DV711_e4a0691c",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.DV711_9600e169",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.DV711_a01540c6",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.DV711_a0140c59",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.DV711_a013595f",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode.FV723_7106e986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
